"Time",pm10
2024-09-22 13:00:00,0.0336
2024-09-22 14:00:00,0.0403
2024-09-22 15:00:00,0.0359
2024-09-22 16:00:00,0.0371
2024-09-22 17:00:00,0.0397
2024-09-22 18:00:00,0.0383
2024-09-22 19:00:00,0.0380
2024-09-22 20:00:00,0.0309
2024-09-22 21:00:00,0.0247
2024-09-22 22:00:00,0.0192
2024-09-22 23:00:00,0.0261
2024-09-23 00:00:00,0.0267
2024-09-23 01:00:00,0.0210
2024-09-23 02:00:00,0.0348
2024-09-23 03:00:00,0.0245
2024-09-23 04:00:00,0.0361
2024-09-23 05:00:00,0.0290
2024-09-23 06:00:00,0.0226
2024-09-23 07:00:00,0.0271
2024-09-23 08:00:00,0.0242
2024-09-23 09:00:00,0.0358
2024-09-23 10:00:00,0.0302
2024-09-23 11:00:00,0.0222
2024-09-23 12:00:00,0.0422
2024-09-23 13:00:00,2.95
2024-09-23 14:00:00,10.9
2024-09-23 15:00:00,0.0358
2024-09-23 16:00:00,0.555
2024-09-23 17:00:00,0.0298
2024-09-23 18:00:00,0.0321
2024-09-23 19:00:00,0.0356
2024-09-23 20:00:00,1.13
2024-09-23 21:00:00,1.56
2024-09-23 22:00:00,3.87
2024-09-23 23:00:00,4.75
2024-09-24 00:00:00,0.839
2024-09-24 01:00:00,8.28
2024-09-24 02:00:00,5.41
2024-09-24 03:00:00,6.96
2024-09-24 04:00:00,14.9
2024-09-24 05:00:00,36.5
2024-09-24 06:00:00,6.92
2024-09-24 07:00:00,9.93
2024-09-24 08:00:00,14.3
2024-09-24 09:00:00,7.42
2024-09-24 10:00:00,1.07
2024-09-24 11:00:00,1.36
2024-09-24 12:00:00,0.297
2024-09-24 13:00:00,0.504
2024-09-24 14:00:00,0.0502
2024-09-24 15:00:00,0.0492
2024-09-24 16:00:00,0.0437
2024-09-24 17:00:00,0.0302
2024-09-24 18:00:00,0.0634
2024-09-24 19:00:00,0.0352
2024-09-24 20:00:00,0.0876
2024-09-24 21:00:00,0.887
2024-09-24 22:00:00,0.0338
2024-09-24 23:00:00,1.84
2024-09-25 00:00:00,1.01
2024-09-25 01:00:00,1.02
2024-09-25 02:00:00,4.07
2024-09-25 03:00:00,2.08
2024-09-25 04:00:00,6.53
2024-09-25 05:00:00,4.18
2024-09-25 06:00:00,1.35
2024-09-25 07:00:00,7.74
2024-09-25 08:00:00,0.0254
2024-09-25 09:00:00,0.0374
2024-09-25 10:00:00,0.0385
2024-09-25 11:00:00,0.102
2024-09-25 12:00:00,5.59
2024-09-25 13:00:00,5.09
2024-09-25 14:00:00,2.65
2024-09-25 15:00:00,0.0282
2024-09-25 16:00:00,1.76
2024-09-25 17:00:00,4.60
2024-09-25 18:00:00,3.89
2024-09-25 19:00:00,0.305
2024-09-25 20:00:00,0.302
2024-09-25 21:00:00,1.84
2024-09-25 22:00:00,5.86
2024-09-25 23:00:00,5.71
2024-09-26 00:00:00,3.85
2024-09-26 01:00:00,6.26
2024-09-26 02:00:00,7.94
2024-09-26 03:00:00,2.71
2024-09-26 04:00:00,0.731
2024-09-26 05:00:00,0.338
2024-09-26 06:00:00,0.0455
2024-09-26 07:00:00,2.72
2024-09-26 08:00:00,4.21
2024-09-26 09:00:00,6.05
2024-09-26 10:00:00,1.95
2024-09-26 11:00:00,5.44
2024-09-26 12:00:00,8.57
2024-09-26 13:00:00,5.54
2024-09-26 14:00:00,1.23
2024-09-26 15:00:00,2.49
2024-09-26 16:00:00,9.44
2024-09-26 17:00:00,12.7
2024-09-26 18:00:00,5.70
2024-09-26 19:00:00,7.41
2024-09-26 20:00:00,7.45
2024-09-26 21:00:00,0.593
2024-09-26 22:00:00,0.0484
2024-09-26 23:00:00,0.0304
2024-09-27 00:00:00,0.0319
2024-09-27 01:00:00,0.0272
2024-09-27 02:00:00,0.0277
2024-09-27 03:00:00,0.0275
2024-09-27 04:00:00,0.0442
2024-09-27 05:00:00,0.0374
2024-09-27 06:00:00,0.0307
2024-09-27 07:00:00,0.0252
2024-09-27 08:00:00,0.0316
2024-09-27 09:00:00,0.0412
2024-09-27 10:00:00,0.0317
2024-09-27 11:00:00,0.0462
2024-09-27 12:00:00,0.0448
2024-09-27 13:00:00,0.0454
2024-09-27 14:00:00,0.0444
2024-09-27 15:00:00,0.0403
2024-09-27 16:00:00,0.0388
2024-09-27 17:00:00,0.0380
2024-09-27 18:00:00,0.0517
2024-09-27 19:00:00,0.0419
2024-09-27 20:00:00,0.0461
2024-09-27 21:00:00,0.0413
2024-09-27 22:00:00,0.0567
2024-09-27 23:00:00,0.0616
2024-09-28 00:00:00,0.147
2024-09-28 01:00:00,0.0454
2024-09-28 02:00:00,0.0562
2024-09-28 03:00:00,0.0405
2024-09-28 04:00:00,0.0468
2024-09-28 05:00:00,0.0364
2024-09-28 06:00:00,0.0332
2024-09-28 07:00:00,0.0459
2024-09-28 08:00:00,0.0358
2024-09-28 09:00:00,0.0361
2024-09-28 10:00:00,0.0412
2024-09-28 11:00:00,0.0401
2024-09-28 12:00:00,0.0378
2024-09-28 13:00:00,0.0483
2024-09-28 14:00:00,0.0429
2024-09-28 15:00:00,0.0373
2024-09-28 16:00:00,0.0417
2024-09-28 17:00:00,0.0423
2024-09-28 18:00:00,0.0507
2024-09-28 19:00:00,0.0438
2024-09-28 20:00:00,0.0411
2024-09-28 21:00:00,0.0379
2024-09-28 22:00:00,0.0449
2024-09-28 23:00:00,0.0397
2024-09-29 00:00:00,0.0375
2024-09-29 01:00:00,0.0376
2024-09-29 02:00:00,0.0409
2024-09-29 03:00:00,0.0422
2024-09-29 04:00:00,0.0499
2024-09-29 05:00:00,0.0581
